region,district,campaign,TOTAL_AGE_0_4
##Province,District,campaign,TOTAL_AGE_0_4
##Code of Region,Code of District,UUID of Campaign,Number
21,2102,,12184
21,2103,,13606
21,2104,,11074
21,2105,,22776
21,2106,,31979
21,2107,,31368
21,2108,,16231
21,2109,,18851
21,2110,,12022
29,2901,,35764
29,2902,,33477
29,2903,,20364
29,2904,,38395
29,2905,,39974
29,2906,,47062
30,3001,,178070
30,3002,,126307
30,3003,,49375
30,3004,,12546
30,3005,,53553
30,3006,,37578
30,3007,,20311
30,3008,,28843
30,3009,,23787
30,3010,,30482
30,3011,,16008
30,3012,,36185
30,3013,,23179
30,3014,,22483
30,3015,,87432
30,3016,,12221
31,3101,,63798
31,3102,,31543
31,3103,,46654
31,3104,,23177
31,3105,,12241
31,3106,,9543
31,3107,,6254
31,3108,,6529
31,3109,,18652
31,3110,,21555
31,3111,,7174
